data,região,instituição,1as_consultas,consultas_subsequentes,total_consultas,ano,mês,coordenadas,código_região
2013-01-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",90,100,190,2013,1,"-7.4263845,39.3003425",4
2013-01-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",38,49,87,2013,1,"-8.6543716,40.6362453",2
2013-01-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",27,5,32,2013,1,"-7.2734793,40.5309916",2
2013-01-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",184,0,184,2013,1,"-8.6745115,41.1794456",1
2013-02-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",185,113,298,2013,2,"-7.9032848,38.5684861",4
2013-02-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE",0,0,0,2013,2,"-8.6956768,38.0162314",4
2013-02-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",65,43,108,2013,2,"-8.0827433,40.516364",2
2013-03-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",12,8,20,2013,3,"-7.8721227,38.014123",4
2013-03-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE",0,0,0,2013,3,"-8.6956768,38.0162314",4
2013-03-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",68,12,80,2013,3,"-7.2734793,40.5309916",2
2013-03-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",28,20,48,2013,3,"-7.4981271,39.8212263",2
2013-03-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",0,0,0,2013,3,"-9.2264834,38.7422257",3
2013-04-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",85,40,125,2013,4,"-7.4922407,40.2804158",2
2013-05-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",272,60,332,2013,5,"-7.9281554,37.0238973",5
2013-06-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",564,298,862,2013,6,"-7.9032848,38.5684861",4
2013-06-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",905,668,1573,2013,6,"-8.4098211,40.2191523",2
2013-06-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",94,23,117,2013,6,"-7.2734793,40.5309916",2
2013-06-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",0,0,0,2013,6,"-9.2264834,38.7422257",3
2013-06-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",630,0,630,2013,6,"-8.6745115,41.1794456",1
2013-07-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE",0,0,0,2013,7,"-8.6956768,38.0162314",4
2013-07-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",394,82,476,2013,7,"-7.9281554,37.0238973",5
2013-07-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",738,0,738,2013,7,"-8.6745115,41.1794456",1
2013-09-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",35,18,53,2013,9,"-7.8721227,38.014123",4
2013-09-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",81,56,137,2013,9,"-7.4981271,39.8212263",2
2013-10-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",550,108,658,2013,10,"-7.9281554,37.0238973",5
2013-10-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",188,136,324,2013,10,"-7.4922407,40.2804158",2
2013-10-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",90,74,164,2013,10,"-7.4981271,39.8212263",2
2013-10-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",468,0,468,2013,10,"-7.7515252,41.3031784",1
2013-11-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",1018,507,1525,2013,11,"-7.9032848,38.5684861",4
2013-11-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",200,54,254,2013,11,"-7.2734793,40.5309916",2
2013-11-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",0,0,0,2013,11,"-8.8818638,38.5283754",3
2013-12-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",53,21,74,2013,12,"-7.8721227,38.014123",4
2013-12-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",1832,1422,3254,2013,12,"-8.4098211,40.2191523",2
2013-12-01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",1309,0,1309,2013,12,"-8.6745115,41.1794456",1
2014-01-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",44,63,107,2014,1,"-8.6543716,40.6362453",2
2014-01-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",22,6,28,2014,1,"-7.2734793,40.5309916",2
2014-02-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",55,49,104,2014,2,"-7.4922407,40.2804158",2
2014-02-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",46,21,67,2014,2,"-7.4981271,39.8212263",2
2014-02-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE",0,2,2,2014,2,"-9.1258493,39.4054629",3
2014-03-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",334,150,484,2014,3,"-7.9032848,38.5684861",4
2014-03-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",86,57,143,2014,3,"-7.4922407,40.2804158",2
2014-03-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE",155,145,300,2014,3,"-8.6543716,40.6362453",2
2014-03-01,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE",0,0,0,2014,3,"-6.7888197,41.8056532",1
2014-04-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",22,14,36,2014,4,"-7.8721227,38.014123",4
2014-04-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",206,360,566,2014,4,"-7.4263845,39.3003425",4
2014-04-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",335,32,367,2014,4,"-7.9281554,37.0238973",5
2014-05-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",620,377,997,2014,5,"-8.4098211,40.2191523",2
2014-05-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",92,19,111,2014,5,"-7.2734793,40.5309916",2
2014-05-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE",1,7,8,2014,5,"-9.1258493,39.4054629",3
2014-05-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",155,0,155,2014,5,"-8.6172617,41.1472498",1
2014-06-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",803,549,1352,2014,6,"-8.4098211,40.2191523",2
2014-06-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",154,163,317,2014,6,"-8.0827433,40.516364",2
2014-06-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",0,0,0,2014,6,"-8.8818638,38.5283754",3
2014-06-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",295,0,295,2014,6,"-7.7515252,41.3031784",1
2014-07-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",1307,937,2244,2014,7,"-8.4098211,40.2191523",2
2014-07-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE",2,8,10,2014,7,"-9.1258493,39.4054629",3
